i,j,k,r,phi
0,16,8,16.5831239518,0.0
0,16,9,16.1864140562,0.0
0,16,10,15.8429795178,0.0
0,16,11,15.5563491861,0.0
0,16,12,15.3297097168,0.0
0,16,13,15.1657508881,0.0
0,16,14,15.0665191733,0.0
0,16,15,15.0332963784,0.0
0,16,16,15.0665191733,0.0
0,16,17,15.1657508881,0.0
0,16,18,15.3297097168,0.0
0,16,19,15.5563491861,0.0
0,16,20,15.8429795178,0.0
0,16,21,16.1864140562,0.0
0,16,22,16.5831239518,0.0
0,16,23,17.0293863659,0.0
0,16,24,17.5214154679,0.0
0,16,25,18.0554700853,0.0
0,16,26,18.6279360102,0.0
0,16,27,19.2353840617,0.0
0,16,28,19.8746069144,0.0
0,16,29,20.5426385842,0.0
0,17,0,21.3072757527,0.0
0,17,1,20.6155281281,0.0
0,17,2,19.9499373433,0.0
0,17,3,19.3132079158,0.0
0,17,4,18.7082869339,0.0
0,17,5,18.1383571472,0.0
0,17,6,17.6068168617,0.0
0,17,7,17.1172427686,0.0
0,17,8,16.6733320005,0.0
0,17,9,16.2788205961,0.0
0,17,10,15.9373774505,0.0
0,17,11,15.6524758425,0.0
0,17,12,15.4272486205,0.0
0,17,13,15.2643375225,0.0
0,17,14,15.1657508881,0.0
0,17,15,15.1327459504,0.0
0,17,16,15.1657508881,0.0
0,17,17,15.2643375225,0.0
0,17,18,15.4272486205,0.0
0,17,19,15.6524758425,0.0
0,17,20,15.9373774505,0.0
0,17,21,16.2788205961,0.0
0,17,22,16.6733320005,0.0
0,17,23,17.1172427686,0.0
0,17,24,17.6068168617,0.0
0,17,25,18.1383571472,0.0
0,17,26,18.7082869339,0.0
0,17,27,19.3132079158,0.0
0,17,28,19.9499373433,0.0
0,17,29,20.6155281281,0.0
0,18,0,21.4242852856,0.0
0,18,1,20.7364413533,0.0
0,18,2,20.0748598999,0.0
0,18,3,19.4422220952,0.0
0,18,4,18.8414436814,0.0
0,18,5,18.2756668825,0.0
0,18,6,17.7482393493,0.0
0,18,7,17.2626765016,0.0
0,18,8,16.8226038413,0.0
0,18,9,16.4316767252,0.0
0,18,10,16.0934769394,0.0
0,18,11,15.8113883008,0.0
0,18,12,15.5884572681,0.0
0,18,13,15.4272486205,0.0
0,18,14,15.3297097168,0.0
0,18,15,15.2970585408,0.0
0,18,16,15.3297097168,0.0
0,18,17,15.4272486205,0.0
0,18,18,15.5884572681,0.0
0,18,19,15.8113883008,0.0
0,18,20,16.0934769394,0.0
0,18,21,16.4316767252,0.0
0,18,22,16.8226038413,0.0
0,18,23,17.2626765016,0.0
0,18,24,17.7482393493,0.0
0,18,25,18.2756668825,0.0
0,18,26,18.8414436814,0.0
0,18,27,19.4422220952,0.0
0,18,28,20.0748598999,0.0
0,18,29,20.7364413533,0.0
0,19,0,21.5870331449,0.0
0,19,1,20.9045449604,0.0
0,19,2,20.2484567313,0.0
0,19,3,19.6214168703,0.0
0,19,4,19.0262975904,0.0
0,19,5,18.4661853126,0.0
0,19,6,17.9443584449,0.0
0,19,7,17.4642491966,0.0
0,19,8,17.0293863659,0.0
0,19,9,16.6433169771,0.0
0,19,10,16.3095064303,0.0
0,19,11,16.0312195419,0.0
0,19,12,15.8113883008,0.0
0,19,13,15.6524758425,0.0
0,19,14,15.5563491861,0.0
0,19,15,15.5241746963,0.0
0,19,16,15.5563491861,0.0
0,19,17,15.6524758425,0.0
0,19,18,15.8113883008,0.0
0,19,19,16.0312195419,0.0
0,19,20,16.3095064303,0.0
0,19,21,16.6433169771,0.0
0,19,22,17.0293863659,0.0
0,19,23,17.4642491966,0.0
0,19,24,17.9443584449,0.0
0,19,25,18.4661853126,0.0
0,19,26,19.0262975904,0.0
0,19,27,19.6214168703,0.0
0,19,28,20.2484567313,0.0
