i,j,r,A_Z,B
32,36,13.0384048104,0.1107123552,0.0120845611713
32,37,13.8924439894,0.100579026587,0.0113451674513
32,38,14.7648230602,0.0908075141883,0.0106888820405
32,39,15.6524758425,0.0813868605205,0.0101092602748
32,40,16.5529453572,0.0722924386238,0.00960067700716
32,41,17.4642491966,0.0634985013784,0.00915774853077
32,42,18.3847763109,0.0549721437551,0.00877622184558
32,43,19.3132079158,0.0466822833037,0.00845214025282
32,44,20.2484567313,0.0385938428373,0.00818265818591
32,45,21.1896201004,0.0306741673331,0.00796510861511
32,46,22.1359436212,0.0228883040423,0.00779782781358
32,47,23.0867927612,0.0152032749053,0.00767919068983
32,48,24.0416305603,0.00758488202899,0.00760847174709
32,49,25.0,0.0,0.0037924410145
33,0,26.2488094968,0.0,0.0033772304671
33,1,25.2982212813,0.00675446093419,0.00677586064777
33,2,24.3515913238,0.0135365246879,0.00683993115348
33,3,23.4093998214,0.0203733270699,0.00694719207451
33,4,22.4722050542,0.0272928478251,0.0070979368169
33,5,21.5406592285,0.0343216054427,0.00729315623554
33,6,20.6155281281,0.0414876475608,0.00753369464908
33,7,19.6977156036,0.0488163491361,0.00782116714834
33,8,18.7882942281,0.0563349048644,0.00815713484547
33,9,17.88854382,0.0640661226732,0.00854398278299
33,10,17.0,0.0720340963241,0.00898409093288
33,11,16.1245154966,0.0802557470374,0.00948062314237
33,12,15.2643375225,0.0887470937644,0.0100366400298
33,13,14.4222051019,0.097512003487,0.0106557033168
33,14,13.6014705087,0.106548034826,0.0113408029684
33,15,12.8062484749,0.115831371943,0.0120945780646
33,16,12.0415945788,0.125320645984,0.0129177860886
33,17,11.313708499,0.134936629316,0.0138087612814
33,18,10.6301458127,0.144562515442,0.0147609374412
33,19,10.0,0.154018365127,0.0157609478583
33,20,9.43398113206,0.16306038255,0.0167845619067
33,21,8.94427191,0.171358923155,0.0177929994869
33,22,8.54400374532,0.178514990564,0.0187278647332
33,23,8.24621125124,0.184073353692,0.0195095037449
33,24,8.0622577483,0.187597194303,0.0200423790004
33,25,8.0,0.188748795075,0.0202385487179
33,26,8.0622577483,0.187403954709,0.0200583079919
33,27,8.24621125124,0.183686062076,0.0195409192872
33,28,8.54400374532,0.177931989868,0.018773998873
33,29,8.94427191,0.170577762255,0.0178529456524
33,30,9.43398113206,0.162077720084,0.0168574465635
33,31,10.0,0.152830069578,0.0158460697637
33,32,10.6301458127,0.14316350626,0.0148578339863
33,33,11.313708499,0.13332102448,0.0139172500238
33,34,12.0415945788,0.123481542525,0.0130379580003
33,35,12.8062484749,0.113761037989,0.0122268000184
33,36,13.6014705087,0.104237632481,0.011485693794
33,37,14.4222051019,0.0949518215209,0.0108141337636
33,38,15.2643375225,0.0859262167035,0.0102097129543
33,39,16.1245154966,0.0771623240074,0.00966967867829
33,40,17.0,0.0686549612048,0.00919069232326
33,41,17.88854382,0.0603870943039,0.00876992325135
33,42,18.7882942281,0.0523403644179,0.00840442463767
33,43,19.6977156036,0.0444895671892,0.00809203664983
33,44,20.6155281281,0.0368103268078,0.00783057872494
33,45,21.5406592285,0.0292742315791,0.00761869104334
33,46,22.4722050542,0.0218542090763,0.00745494241461
33,47,23.4093998214,0.0145208895045,0.00733866705686
33,48,24.3515913238,0.00724594628727,0.0072690421473
33,49,25.2982212813,0.0,0.00362297314363
34,0,26.5706605112,0.0,0.00321004235498
34,1,25.632011236,0.00642008470996,0.00644129319542
34,2,24.6981780705,0.0128639581333,0.00650516623192
34,3,23.769728648,0.0193557192319,0.00661159303839
34,4,22.8473193176,0.0259183469503,0.0067609874187
34,5,21.9317121995,0.0325756636661,0.00695346535611
34,6,21.0237960416,0.0393490972846,0.00718973388406
34,7,20.1246117975,0.0462611574946,0.00747028265868
34,8,19.2353840617,0.0533303069879,0.00779624264773
34,9,18.3575597507,0.0605757158376,0.00816856509183
34,10,17.4928556845,0.0680100914343,0.00858880730781
34,11,16.6433169771,0.0756453225473,0.00905826071249
34,12,15.8113883008,0.0834829790002,0.00957860286758
34,13,15.0,0.0915202309728,0.0101509034898
34,14,14.2126704036,0.099737529403,0.0107760357054
34,15,13.4536240471,0.108103955616,0.0114534242338
34,16,12.7279220614,0.116561517501,0.0121810334247
34,17,12.0415945788,0.125029259133,0.0129536398148
34,18,11.401754251,0.133384447328,0.0137621548592
34,19,10.8166538264,0.141466727651,0.0145912075442
34,20,10.295630141,0.149060350705,0.0154177420631
34,21,9.8488578018,0.155906115705,0.0162082867914
34,22,9.48683298051,0.161697976802,0.0169182752391
34,23,9.21954445729,0.16612046365,0.0174926079298
34,24,9.05538513814,0.168877736663,0.0178726889784
34,25,9.0,0.169762203714,0.0180097658633
34,26,9.05538513814,0.168692543685,0.0178841765902
34,27,9.21954445729,0.165749292225,0.0175153900229
34,28,9.48683298051,0.161139280621,0.0169520190949
34,29,9.8488578018,0.155157526617,0.0162526005957
34,30,10.295630141,0.148118752161,0.015472268506
34,31,10.8166538264,0.140328133617,0.014655692827
34,32,11.401754251,0.132044123227,0.0138365081999
34,33,12.0415945788,0.123481542525,0.0130379580003
34,34,12.7279220614,0.114799984405,0.0122756259789
34,35,13.4536240471,0.106121185779,0.0115588134377
34,36,14.2126704036,0.0975253152143,0.0108929695307
34,37,15.0,0.0890692912102,0.0102803504492
34,38,15.8113883008,0.0807832070973,0.00972176393867
34,39,16.6433169771,0.0726854539408,0.00921656492546
34,40,17.4928556845,0.0647779878842,0.00876392262776
34,41,18.3575597507,0.0570579930895,0.00836239193443
34,42,19.2353840617,0.0495126524235,0.00801091803214
34,43,20.1246117975,0.0421279271037,0.00770816548467
34,44,21.0237960416,0.0348836656255,0.00745339604081
34,45,21.9317121995,0.027760002743,0.00724566477913
34,46,22.8473193176,0.0207334111794,0.0070846453546
34,47,23.769728648,0.0137810249373,0.00696975969567
34,48,24.6981780705,0.00687801361554,0.00690099458447
34,49,25.632011236,0.0,0.00343900680777
35,0,26.9258240357,0.0,0.00303095988616
35,1,26.0,0.00606191977231,0.00608333657372
35,2,25.079872408,0.012144364376,0.00614734177384
35,3,24.1660919472,0.0182672447742,0.00625403250618
35,4,23.2594066992,0.0244508638946,0.00640305804888
35,5,22.360679775,0.0307136049866,0.00659448080691
35,6,21.4709105536,0.0370744455529,0.00682800806005
35,7,20.591260282,0.0435488765699,0.00710383996451
35,8,19.7230829233,0.0501527517495,0.00742188659338
35,9,18.8679622641,0.056896342255,0.00778255777517
35,10,18.0277563773,0.0637892556647,0.00818592954076
35,11,17.2046505341,0.0708324727172,0.00863243227729
35,12,16.4012194669,0.0780239499129,0.00912192477161
35,13,15.6204993518,0.085348412001,0.00965422307926
